데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,26-Feb,26-Mar,26-Apr,26-May,26-Jun,26-Jul
카드_실판매출_아이템_26FW_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3%
카드_실판매출_아이템_과시즌_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46
카드_실판매출_아이템_과시즌_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,325%
카드_실판매출_아이템_과시즌_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3%
카드_직접이익_값,474,415,688,506,560,563,412,365,274,255,584,95,-21,232,367,383,276,96,137
카드_직접이익_YOY,90%,99%,94%,95%,87%,91%,113%,95%,123%,156%,88%,10%,적자,56%,53%,76%,49%,17%,33%
카드_직접이익_이익률,35.50%,33.30%,37.90%,31.00%,33.00%,33.10%,25.20%,23.00%,16.20%,13.20%,19.50%,2.70%,적자,21.60%,30.20%,39%,16.30%,7.10%,10.00%
카드_직접이익_채널_US홀세일_값,38,82,128,94,10,-11,9,66,57,60,-4,-6,-8,50,58,60,23,9,30
카드_직접이익_채널_US홀세일_YOY,38%,60%,87%,64%,25%,829%,32%,34%,30%,93%,적자,적자,적자,62%,46%,65%,230%,흑자전환,333%
카드_직접이익_채널_US홀세일_이익율,43.00%,46.00%,47.00%,45.00%,14.00%,-30.00%,15.00%,40.00%,33.00%,30.00%,적자,적자,적자,46.80%,51.70%,45.90%,29.10%,19.90%,24.50%
카드_직접이익_채널_USEC_값,273,252,381,336,505,524,278,218,119,113,513,-29,-23,181,284,130,244,34,43
카드_직접이익_채널_USEC_YOY,72%,68%,86%,78%,157%,147%,150%,87%,39%,26%,86%,적자,적자,72%,75%,39%,48%,6%,16%
카드_직접이익_채널_USEC_이익율,26.00%,26.00%,28.00%,26.00%,34.00%,34.00%,20.00%,18.00%,9.00%,7.00%,18.10%,적자,적자,19.40%,27.50%,13%,19.10%,2.80%,3.70%
카드_직접이익_채널_EUEC_값,21,-11,1,14,-7,17,29,10,2,12,-1,9,10,-5,-22,8,3,8,6
카드_직접이익_채널_EUEC_YOY,44%,-39%,4%,17%,-13%,43%,176%,57%,7%,154%,적자,34%,48%,적자,적자,57%,흑자전환,49,21%
카드_직접이익_채널_EUEC_이익율,23.00%,-17.00%,1.00%,15.00%,-8.00%,24.00%,33.00%,23.00%,5.00%,25.00%,적자,12%,19.60%,적자,적자,27.40%,9.40%,23.30%,22.80%
카드_직접이익_채널_라이선스_값,89,46,83,62,51,34,96,52,92,62,77,120,0,0,47,182,5,44,57
카드_직접이익_채널_라이선스_YOY,156%,81%,146%,59%,92%,61%,80%,50%,100%,62%,125%,106%,0%,0%,57%,298%,10%,117%,59%
